iter	CrossEntropy
1110	0.4516309814
1111	0.4516094971
1112	0.4515988464
1113	0.4515677185
1114	0.451539093
1115	0.4515178833
1116	0.4514920044
1117	0.4514612427
1118	0.4514358521
1119	0.451410553
1120	0.4513817139
1121	0.4513500671
1122	0.4513286743
1123	0.4513005981
1124	0.4512738647
1125	0.451254425
1126	0.4512311707
1127	0.4512047424
1128	0.4511697693
1129	0.4511467285
1130	0.4511240845
1131	0.4511056824
1132	0.4510804443
1133	0.4510596313
1134	0.4510311584
1135	0.4510073547
1136	0.4509868164
1137	0.4509646912
1138	0.4509451599
1139	0.4509204407
1140	0.450899353
1141	0.4508685303
1142	0.4508512878
1143	0.4508245239
1144	0.4507936096
1145	0.4507669067
1146	0.4507390747
1147	0.4507119141
1148	0.4506884766
1149	0.4506620483
1150	0.450635498
1151	0.4506074219
1152	0.4505863037
1153	0.450559021
1154	0.450517334
1155	0.4504926758
1156	0.4504664917
1157	0.4504389648
1158	0.4504191895
1159	0.4503850708
1160	0.4503616638
1161	0.4503411255
1162	0.4503011169
1163	0.4502739258
1164	0.4502452393
1165	0.4502227783
1166	0.4501952209
1167	0.4501703491
1168	0.4501538696
1169	0.4501342163
1170	0.4501117859
1171	0.4500981445
1172	0.4500683899
1173	0.4500419312
1174	0.4500114136
1175	0.4499930725
1176	0.4499763184
1177	0.4499526367
1178	0.4499295959
1179	0.4498982544
1180	0.4498725891
1181	0.4498405762
1182	0.4498173828
1183	0.4497947998
1184	0.4497720337
1185	0.4497485352
1186	0.4497337646
1187	0.4497077942
1188	0.4496860657
1189	0.4496624146
1190	0.4496315308
1191	0.4496118774
1192	0.4495849304
1193	0.4495610962
1194	0.4495422363
1195	0.4495202637
1196	0.4495011902
1197	0.4494812012
1198	0.4494498901
1199	0.4494334412
1200	0.4494039917
1201	0.4493832397
1202	0.4493586731
1203	0.4493435059
1204	0.4493108521
1205	0.4492893677
1206	0.4492674561
1207	0.4492457275
1208	0.4492174988
1209	0.449188385
1210	0.4491690063
1211	0.4491351318
1212	0.4491081238
1213	0.4490843506
1214	0.4490515747
1215	0.4490241089
1216	0.4490065613
1217	0.4489822388
1218	0.4489671021
1219	0.4489411621
1220	0.4489139404
1221	0.4488955688
1222	0.4488756714
1223	0.4488602295
1224	0.4488334961
1225	0.4488087769
1226	0.4487850342
1227	0.4487591248
1228	0.4487274475
1229	0.4487014465
1230	0.4486760864
1231	0.4486513062
1232	0.4486185608
1233	0.4485932617
1234	0.4485710449
1235	0.4485513306
1236	0.4485358276
1237	0.4485139771
1238	0.4484901123
1239	0.4484762573
1240	0.4484510498
1241	0.4484330444
1242	0.4484133911
1243	0.4483931885
1244	0.4483734131
1245	0.448348999
